was	ist	-3.987219
das	ist	-4.144792
ich	weiß	-4.280869
tut	mir	-4.681609
ist	das	-4.699762
mir	leid	-4.801305
ich	bin	-4.941116
es	ist	-5.070110
bist	du	-5.081524
in	ordnung	-5.098154
hast	du	-5.125487
nein	nein	-5.147817
ich	nicht	-5.235265
komm	schon	-5.288099
ist	es	-5.327994
weiß	nicht	-5.329903
es	nicht	-5.354108
mein	gott	-5.362341
was	soll	-5.432457
ist	los	-5.440403
ich	habe	-5.445056
es	tut	-5.547752
du	das	-5.604210
sind	sie	-5.635236
machst	du	-5.641251
weißt	du	-5.664614
ist	er	-5.681109
oh	mein	-5.681279
wie	geht	-5.733507
ich	kann	-5.738204
willst	du	-5.759083
geht	es	-5.767744
soll	das	-5.784540
vielen	dank	-5.793273
was	machst	-5.796011
wo	ist	-5.808000
er	ist	-5.813061
alles	klar	-5.814883
wer	ist	-5.825140
keine	ahnung	-5.830682
kommen	sie	-5.836652
weiß	es	-5.838955
ich	muss	-5.840347
oh	gott	-5.860002
ich	auch	-5.934778
ich	verstehe	-5.935828
kann	ich	-5.936967
ja	sir	-5.944315
schon	gut	-5.957250
du	hast	-6.027096
ist	nicht	-6.040717
ist	passiert	-6.046814
du	bist	-6.051818
alles	in	-6.062247
oh	nein	-6.064934
ich	liebe	-6.068928
meinst	du	-6.097546
bin	ich	-6.103225
das	nicht	-6.105713
ist	denn	-6.108988
gehen	wir	-6.123304
ich	hab	-6.135580
hor	auf	-6.147143
kann	nicht	-6.155617
was	hast	-6.156435
sie	sich	-6.168409
oh	ja	-6.172007
weiß	ich	-6.208545
ist	sie	-6.229351
du	was	-6.234769
das	war	-6.235300
wie	bitte	-6.241523
ist	gut	-6.242236
gute	nacht	-6.245991
ist	alles	-6.259820
komm	her	-6.261517
sie	das	-6.264554
ach	ja	-6.265284
lass	mich	-6.265649
ja	ja	-6.284708
du	da	-6.284832
liebe	dich	-6.289436
mit	dir	-6.297765
ich	will	-6.299780
warum	nicht	-6.343310
sie	mich	-6.382230
ja	ich	-6.383257
war	das	-6.389648
ich	komme	-6.394762
entschuldigen	sie	-6.397816
haben	sie	-6.411039
wir	mussen	-6.416547
habe	ich	-6.429161
du	nicht	-6.442953
na	los	-6.449007
was	denn	-6.450031
guten	tag	-6.459818
soll	ich	-6.465157
sehr	gut	-6.465752
das	stimmt	-6.466124
was	meinst	-6.470300
was	willst	-6.482026
noch	nicht	-6.485358
ja	das	-6.512502
siehst	du	-6.535765
was	machen	-6.538322
ist	da	-6.544178
guten	morgen	-6.544339
wir	sind	-6.545466
was	zum	-6.552662
zum	teufel	-6.559501
sie	ist	-6.560155
nein	danke	-6.568034
du	denn	-6.568199
wir	haben	-6.573984
warten	sie	-6.578554
es	dir	-6.587588
keine	sorge	-6.587756
ist	schon	-6.587924
wollen	sie	-6.601720
du	hier	-6.608561
ist	mit	-6.613809
da	ist	-6.624911
machen	sie	-6.625697
ich	glaube	-6.629457
sie	sind	-6.641889
na	gut	-6.642954
horen	sie	-6.656185
tust	du	-6.691540
wer	sind	-6.705718
das	an	-6.711122
so	ist	-6.715314
ist	hier	-6.741823
auch	nicht	-6.753558
kein	problem	-6.766236
wissen	sie	-6.773192
das	kann	-6.774812
sie	mir	-6.777043
das	weiß	-6.811972
es	geht	-6.812813
nicht	wahr	-6.816398
sehen	sie	-6.818196
mich	nicht	-6.856156
ich	meine	-6.866541
mir	geht	-6.868209
du	mich	-6.874570
