det	er	-3.591636
er	det	-3.869378
hva	er	-4.195561
kom	igjen	-4.307895
jeg	vet	-4.352806
jeg	er	-4.559988
er	du	-4.588230
vet	ikke	-4.753408
du	det	-4.990702
gjør	du	-5.120385
hva	gjør	-5.125131
er	ikke	-5.194892
jeg	har	-5.235884
vær	sa	-5.249033
det	var	-5.250773
har	du	-5.256972
hvor	er	-5.342309
gar	det	-5.387262
hvem	er	-5.412103
vet	det	-5.429617
vil	du	-5.443826
du	er	-5.460593
vet	du	-5.500459
det	gar	-5.536210
gjør	det	-5.558810
det	bra	-5.572589
med	deg	-5.594371
mener	du	-5.645815
sa	snill	-5.685626
jeg	kan	-5.715398
ikke	det	-5.724378
ha	det	-5.735263
skal	du	-5.742034
kan	ikke	-5.761224
nei	nei	-5.763942
var	det	-5.766667
det	gjør	-5.771006
jeg	skal	-5.837033
jeg	ma	-5.846467
gar	bra	-5.852191
hva	mener	-5.864465
pa	meg	-5.894916
han	er	-5.922686
hva	sa	-5.948424
se	pa	-5.951590
er	han	-5.960461
hva	da	-5.964581
kan	jeg	-5.974495
jeg	ikke	-5.974611
ja	vel	-6.014439
hva	skal	-6.025959
jeg	vil	-6.036257
er	dette	-6.044920
ja	det	-6.050030
hvor	skal	-6.066024
unnskyld	meg	-6.066151
hva	har	-6.067040
du	ikke	-6.082537
nei	det	-6.083440
hva	skjer	-6.105250
hvordan	gar	-6.108424
vent	litt	-6.121489
ikke	noe	-6.125119
du	ha	-6.132961
jeg	elsker	-6.152701
hva	vil	-6.156446
du	her	-6.166221
hvorfor	det	-6.184061
hvorfor	ikke	-6.194978
jeg	forstar	-6.197291
du	hva	-6.202953
du	har	-6.205431
dette	er	-6.210112
for	det	-6.230704
la	oss	-6.255864
kan	du	-6.262795
sa	god	-6.280100
ja	sir	-6.286252
hva	skjedde	-6.286252
jeg	tror	-6.288311
vi	ma	-6.300274
alt	orden	-6.301398
hva	faen	-6.316450
skal	vi	-6.316450
hold	kjeft	-6.317593
elsker	deg	-6.320863
er	her	-6.322010
la	meg	-6.325296
jeg	kommer	-6.329417
sa	du	-6.336879
det	ikke	-6.340047
er	alt	-6.342889
det	du	-6.372286
har	rett	-6.374357
skal	jeg	-6.381119
ikke	sant	-6.413834
lei	for	-6.433989
du	med	-6.448213
hør	her	-6.451380
med	meg	-6.459626
kom	inn	-6.476516
jeg	ogsa	-6.477857
gjør	jeg	-6.480736
det	med	-6.487099
kom	deg	-6.487485
du	om	-6.489616
jeg	beklager	-6.490975
er	en	-6.501515
det	stemmer	-6.502104
tror	du	-6.507420
det	kan	-6.509791
der	er	-6.513161
vi	er	-6.516940
ser	du	-6.522535
det	som	-6.522736
ja	visst	-6.523538
et	øyeblikk	-6.530180
slapp	av	-6.542779
har	det	-6.546261
sett	deg	-6.547288
ta	det	-6.551611
god	morgen	-6.554711
jeg	sa	-6.568254
er	jeg	-6.588598
det	vet	-6.590741
er	greit	-6.595472
pa	det	-6.597630
vi	ses	-6.601527
kom	hit	-6.609583
takk	for	-6.611334
er	lei	-6.621681
hva	jeg	-6.624783
vi	har	-6.629010
jeg	mener	-6.633478
sier	du	-6.639993
snakker	du	-6.642023
hva	med	-6.644737
god	natt	-6.645643
si	det	-6.649731
tusen	takk	-6.652923
du	sikker	-6.654293
har	ikke	-6.656811
hva	heter	-6.664173
glem	det	-6.668569
