der	1602126
die	1338664
und	1268183
in	848856
von	653124
den	428157
des	421040
im	406712
das	382581
mit	363345
als	285597
zu	285411
dem	271716
für	257844
auf	257543
eine	256750
ist	249986
sich	225460
ein	222822
auch	202649
wurde	181174
nach	173733
an	168984
er	168759
aus	164536
bei	156294
wird	148611
durch	142574
werden	141224
es	140608
oder	140260
einer	133107
am	130626
sind	126252
nicht	125288
bis	121808
sie	121378
zum	116997
zur	109573
war	109034
deutscher	104704
über	96214
um	95910
einem	92760
wie	89012
dass	85923
einen	82340
unter	77151
vor	76676
wurden	72718
nur	72078
diese	63065
so	59871
vom	58627
seit	56090
aber	54675
noch	54096
stadt	53271
zwischen	52638
eines	51905
sowie	50015
dieser	48967
hat	46914
seine	46582
ab	46059
kann	45912
etwa	45768
jahr	45016
de	44504
sein	43561
amerikanischer	42720
man	42612
waren	42470
seiner	41812
deutsche	40815
of	40578
the	39785
jedoch	39458
jahre	39112
zwei	38818
zeit	37935
politiker	37405
hatte	37095
gegen	36771
da	36086
jahrhundert	34881
können	34785
jahren	34679
august	34493
deutschen	34444
mehr	34012
während	33412
deutschland	33249
januar	33164
ersten	32635
mai	32435
haben	32009
märz	31927
berlin	31839
ihre	31754
gibt	31680
heute	31504
oktober	31049
damit	30748
april	30343
september	30159
dezember	29917
juli	29592
juni	29370
anderen	28769
november	28495
erste	28409
teil	28337
drei	27484
alle	27484
februar	26798
bereits	26787
dabei	26223
wieder	26140
geschichte	26050
siehe	24792
weitere	24718
später	24371
wenn	24354
seinen	24115
beim	23944
allem	23571
ende	23395
sehr	23392
ihrer	23330
dies	23073
keine	23057
menschen	22944
friedrich	22718
dann	22371
bzw	22279
seinem	22044
komponist	22016
literatur	21367
ihm	21042
ohne	20577
hier	20542
schriftsteller	20525
was	20505
könig	20227
verlag	20216
neben	20214
deren	20059
andere	20001
sondern	19939
karl	19687
viele	19613
bezeichnet	19612
hrsg	19581
erst	19558
fußballspieler	19513
selbst	19365
dort	19284
diesem	19150
johann	19036
leben	18966
französischer	18451
beispiel	18342
ihr	18198
liegt	18195
große	18120
großen	18043
immer	18034
neue	17983
band	17818
dessen	17776
konnte	17713
einige	17662
allerdings	17589
kirche	17526
münchen	17481
beiden	17401
dieses	17311
wilhelm	17233
denen	17112
ihren	17098
heinrich	16962
schauspieler	16916
gab	16740
jahrhunderts	16568
and	16564
schon	16495
oft	16380
kam	16359
also	16275
verwendet	16190
zweiten	16075
ebenfalls	16012
vier	16012
dazu	15973
weblinks	15966
neuen	15718
sei	15569
universität	15419
meist	15288
hans	15176
insbesondere	15142
