the	1445588
of	746307
and	607264
in	579829
to	411999
was	197284
is	186435
as	174204
for	164101
by	150697
on	145962
with	144209
that	123899
from	113929
at	97018
he	88864
it	87740
his	85649
an	78327
are	74522
which	64778
or	61631
were	61064
be	58817
also	56197
this	54641
has	44855
first	43862
had	43687
their	42953
one	42618
not	42105
its	41779
have	40402
new	39168
but	38883
after	36333
they	35959
other	33680
two	32968
who	32948
american	32547
been	31899
th	29029
all	28931
when	26740
time	26136
into	25577
more	25335
during	25134
most	24668
such	24489
her	24355
used	23975
some	23673
there	23590
may	23413
world	22567
can	22415
no	21991
united	21936
only	21749
people	21610
between	20981
would	20844
she	19946
over	19912
century	19692
than	19594
states	19427
years	19318
city	19223
many	19135
state	19124
these	19010
year	18522
about	18122
up	18100
national	18094
three	17798
while	17786
later	17768
references	17611
war	17401
known	17372
university	17303
school	17034
where	16937
south	16815
then	16119
under	16031
part	15723
him	15422
out	15418
both	15411
made	15361
being	15299
including	15233
history	14960
through	14894
however	14708
early	14655
well	14601
second	14540
became	14537
film	14458
high	14299
since	14109
order	14021
north	14011
english	13633
series	13606
number	13604
use	13552
before	13500
them	13497
called	13264
british	13107
external	13003
links	12726
against	12681
de	12575
life	12500
season	12435
born	12360
until	12227
name	12167
see	12158
government	12076
if	12064
based	12062
team	11901
system	11898
st	11872
music	11850
area	11733
several	11669
district	11662
general	11517
league	11445
so	11402
four	11373
following	11289
day	11246
international	11211
work	11173
group	11167
football	11166
john	11001
each	10982
same	10981
games	10958
west	10952
found	10886
game	10645
will	10326
because	10239
any	10168
like	10114
family	10006
former	9905
end	9820
public	9714
college	9669
french	9605
club	9587
members	9528
now	9524
east	9496
could	9450
players	9421
often	9362
york	9269
around	9225
major	9195
album	9142
county	9066
german	9027
party	9006
house	8996
due	8964
church	8947
although	8936
set	8901
left	8900
place	8880
home	8835
released	8799
another	8774
large	8739
long	8724
country	8715
town	8655
company	8617
law	8605
best	8582
form	8557
population	8532
january	8532
began	8528
air	8471
march	8451
include	8440
player	8396
book	8388
death	8311
won	8293
did	8279
list	8266
service	8205
played	8182
among	8154
television	8117
old	8097
language	8063
single	7992
power	7984
september	7978
back	7965
those	7951
within	7948
local	7915
october	7906
great	7888
according	7818
june	7795
established	7786
black	7781
army	7775
april	7768
different	7724
july	7709
small	7696
films	7619
line	7616
august	7610
along	7596
president	7581
december	7535
november	7499
career	7468
central	7459
third	7451
military	7445
center	7444
even	7430
main	7404
member	7355
still	7335
named	7334
published	7330
five	7312
station	7294
very	7267
river	7265
development	7259
example	7252
king	7249
million	7239
own	7232
much	7215
modern	7192
february	7180
last	7116
times	7099
what	7087
division	7075
using	7003
northern	6994
built	6981
common	6972
water	6967
final	6953
political	6946
non	6930
held	6919
england	6902
took	6831
region	6808
led	6800
european	6784
late	6770
original	6763
said	6759
period	6747
song	6739
union	6711
western	6700
off	6675
show	6673
do	6669
further	6650
band	6576
road	6561
al	6552
court	6551
education	6536
located	6495
included	6494
way	6482
point	6469
various	6366
act	6355
award	6286
building	6265
art	6242
near	6213
park	6180
support	6164
london	6154
top	6140
production	6130
right	6127
cup	6126
record	6071
force	6056
age	6051
side	6046
given	6028
play	6001
produced	5988
research	5965
man	5927
term	5925
island	5915
considered	5906
australian	5894
version	5893
control	5873
community	5858
died	5858
battle	5854
down	5851
human	5834
official	5814
without	5813
video	5803
having	5800
white	5772
make	5767
become	5755
living	5744
works	5723
canada	5704
present	5699
field	5681
received	5677
role	5674
just	5669
short	5627
head	5624
important	5623
written	5614
again	5586
style	5585
son	5571
land	5565
europe	5524
kingdom	5515
council	5513
though	5488
women	5481
radio	5464
areas	5457
class	5442
social	5427
six	5397
free	5375
served	5349
similar	5326
records	5324
you	5305
level	5296
species	5286
southern	5270
developed	5264
total	5260
came	5247
case	5236
australia	5221
roman	5220
society	5205
association	5204
program	5188
forces	5171
germany	5163
created	5154
popular	5149
men	5147
site	5140
science	5136
david	5127
largest	5110
male	5108
royal	5104
health	5094
next	5092
few	5089
groups	5075
wrote	5066
canadian	5056
william	5042
live	5034
greek	5021
children	5018
title	4993
special	4974
others	4923
eastern	4919
france	4904
office	4902
province	4889
red	4880
usually	4879
information	4876
america	4872
we	4871
press	4868
less	4862
take	4859
street	4854
election	4851
african	4849
systems	4836
young	4833
sea	4816
births	4808
result	4799
countries	4786
space	4780
half	4761
design	4760
moved	4741
character	4713
every	4679
services	4650
per	4648
schools	4624
co	4611
position	4606
california	4606
books	4600
village	4594
lost	4593
days	4589
students	4588
story	4567
light	4556
india	4551
director	4546
type	4544
la	4541
body	4532
how	4510
minister	4496
data	4484
founded	4478
continued	4468
empire	4462
father	4461
james	4461
full	4458
once	4456
thus	4455
run	4451
rock	4450
open	4445
culture	4443
indian	4436
george	4436
making	4422
study	4421
described	4418
formed	4417
track	4417
little	4408
christian	4394
win	4349
went	4346
ancient	4342
africa	4339
does	4336
china	4324
rights	4318
business	4314
low	4296
coach	4296
civil	4292
san	4284
should	4250
addition	4240
range	4235
middle	4210
upon	4208
events	4208
announced	4207
align	4207
republic	4203
songs	4199
project	4195
together	4186
aircraft	4183
good	4178
either	4153
current	4120
theory	4119
process	4107
hall	4098
russian	4081
museum	4079
network	4077
started	4075
must	4069
summer	4064
lead	4057
board	4053
energy	4037
throughout	4030
places	4024
never	4005
japanese	4004
economic	4000
related	3994
charles	3988
construction	3966
sometimes	3963
author	3947
trade	3945
instead	3942
originally	3927
despite	3918
awards	3915
sports	3912
god	3902
himself	3898
especially	3897
returned	3891
media	3885
rather	3843
performance	3842
movement	3833
spanish	3830
available	3829
star	3825
regulations	3822
notes	3822
across	3821
olympics	3819
love	3816
politician	3809
parts	3787
islands	3787
seen	3776
fire	3775
natural	3770
recorded	3770
model	3769
japan	3763
robert	3759
michael	3759
computer	3758
ireland	3744
generally	3741
albums	3738
languages	3735
department	3730
standard	3728
appeared	3726
capital	3725
word	3722
gold	3722
actor	3718
points	3715
seven	3705
return	3704
winter	3697
followed	3696
personal	3693
deaths	3691
higher	3681
companies	3673
least	3671
centre	3670
taken	3669
professional	3669
italian	3668
includes	3651
opened	3645
footballer	3643
soviet	3638
release	3636
change	3633
foreign	3632
paul	3628
championship	3616
my	3616
away	3612
introduced	3603
almost	3602
post	3601
above	3599
baseball	3596
chinese	3592
studies	3591
base	3589
railway	3579
lower	3575
playing	3569
singer	3568
possible	3566
eventually	3564
action	3562
round	3554
text	3539
features	3534
website	3534
catholic	3533
elected	3531
today	3524
sources	3519
grand	3512
food	3509
news	3504
joined	3497
blue	3488
route	3479
person	3449
significant	3446
working	3444
industry	3432
characters	3432
independent	3428
training	3427
married	3415
buildings	3398
police	3392
federal	3391
technology	3382
designed	3381
night	3378
washington	3378
traditional	3370
chief	3370
real	3365
olympic	3364
religious	3358
go	3347
thomas	3338
mark	3338
private	3335
remained	3329
primary	3327
leading	3318
historical	3314
anti	3301
numbers	3292
structure	3283
arts	3281
event	3280
academy	3272
sold	3261
race	3255
market	3240
results	3239
institute	3239
means	3235
coast	3231
function	3229
big	3228
gave	3219
worked	3209
self	3204
basketball	3202
average	3199
collection	3190
teams	3189
manager	3184
forms	3182
re	3181
ground	3179
whose	3178
episode	3172
cross	3171
replaced	3165
months	3163
attack	3161
killed	3156
cities	3154
eight	3148
close	3146
latin	3144
writers	3142
front	3140
associated	3137
far	3136
lake	3120
performed	3114
able	3106
added	3103
completed	3099
itself	3088
evidence	3088
elements	3083
texas	3083
female	3083
outside	3081
stations	3074
beginning	3072
terms	3064
producer	3064
alexander	3060
uses	3059
help	3057
reported	3046
wife	3045
provided	3044
festival	3039
hand	3038
wales	3030
turkey	3026
km	3024
fourth	3022
mid	3014
provide	3014
certain	3013
sent	2999
earth	2983
cultural	2982
medical	2982
meaning	2976
brother	2975
bank	2974
ten	2973
strong	2970
car	2964
highest	2960
operations	2960
artists	2951
mother	2951
green	2949
source	2943
writing	2942
amendment	2937
peter	2926
appointed	2926
rate	2923
signed	2923
parliament	2917
value	2915
notable	2913
limited	2913
library	2907
reading	2906
nuclear	2906
individual	2903
governor	2899
henry	2897
previous	2896
key	2895
bridge	2895
operation	2894
sound	2890
tour	2888
success	2887
via	2885
speed	2880
stage	2879
thought	2875
richard	2870
asia	2869
saint	2865
flight	2864
me	2864
regional	2847
particularly	2846
saw	2844
placed	2843
come	2843
scottish	2843
nd	2842
future	2839
complete	2834
currently	2834
legal	2830
complex	2830
allowed	2822
brought	2815
magazine	2813
musical	2813
practice	2812
prime	2812
additional	2807
italy	2804
hill	2799
section	2797
shows	2796
winning	2792
jewish	2790
too	2787
campaign	2785
size	2781
mass	2778
edition	2771
soon	2769
words	2768
double	2768
successful	2765
daughter	2763
academic	2761
names	2761
increased	2758
ice	2757
organization	2756
medal	2755
leader	2754
specific	2754
involved	2752
particular	2748
russia	2746
valley	2746
reached	2746
influence	2744
units	2741
committee	2739
effect	2736
native	2736
interest	2734
nature	2733
writer	2729
policy	2725
britain	2725
mission	2724
changes	2720
los	2713
active	2712
territory	2711
unit	2702
required	2698
dutch	2698
stated	2696
management	2696
test	2696
brown	2693
code	2688
cases	2686
novel	2685
referred	2684
channel	2683
software	2672
commercial	2669
remains	2667
towards	2662
online	2659
report	2656
approximately	2655
men's	2655
featured	2655
transport	2654
mostly	2650
command	2648
majority	2647
changed	2647
directed	2647
ever	2645
rule	2643
guitar	2640
recent	2633
material	2632
economy	2631
match	2631
assembly	2629
previously	2629
hockey	2626
get	2625
earlier	2624
nations	2621
security	2620
staff	2616
stone	2603
larger	2596
view	2593
competition	2589
below	2584
finished	2583
multiple	2576
put	2575
lines	2571
historic	2565
products	2565
era	2553
behind	2549
therefore	2546
typically	2544
growth	2544
location	2542
access	2541
hit	2534
caused	2528
financial	2525
degree	2521
longer	2516
prior	2515
start	2515
municipality	2514
oil	2513
bill	2513
review	2512
annual	2510
effects	2506
physical	2505
numerous	2505
here	2503
rules	2502
past	2501
pre	2499
apollo	2496
metal	2488
lived	2477
believed	2476
decided	2473
irish	2472
theatre	2466
alumni	2457
plant	2456
plan	2454
wide	2449
paris	2448
child	2448
issue	2447
refer	2446
surface	2445
types	2439
bay	2439
justice	2437
silver	2437
owned	2436
whom	2435
money	2435
regular	2433
themselves	2430
fact	2430
prize	2429
move	2428
status	2423
initially	2420
mountain	2418
might	2414
taking	2413
classical	2411
prince	2411
whether	2410
literature	2408
greater	2407
week	2407
variety	2407
commonly	2404
florida	2403
better	2399
always	2394
problems	2386
victory	2385
independence	2381
already	2379
establishments	2377
our	2375
smith	2374
women's	2366
give	2366
awarded	2365
highway	2365
birth	2358
conditions	2358
increase	2354
relations	2353
upper	2352
administration	2352
championships	2352
issues	2350
programs	2350
conference	2338
spain	2335
rd	2335
analysis	2334
dance	2333
scotland	2330
entire	2327
airport	2326
navy	2325
length	2323
port	2322
cause	2321
engine	2319
separate	2318
studio	2316
actress	2311
need	2306
famous	2306
woman	2300
blood	2297
supported	2296
contains	2292
ended	2283
fall	2281
property	2280
student	2280
loss	2276
defense	2272
subject	2270
border	2269
seat	2264
debut	2264
rest	2263
direct	2261
lord	2260
proposed	2259
square	2259
congress	2251
chicago	2251
date	2250
likely	2249
forest	2249
finally	2248
tree	2248
widely	2247
turn	2246
artist	2244
closed	2236
treatment	2236
van	2234
joseph	2231
heart	2229
sir	2226
minor	2223
democratic	2222
angeles	2222
mainly	2221
regions	2218
foundation	2218
urban	2217
latter	2216
professor	2213
districts	2213
vocals	2210
commission	2209
nearly	2207
noted	2205
activities	2196
origin	2189
ships	2189
ship	2189
response	2187
secretary	2187
fiction	2185
produce	2185
heavy	2184
troops	2184
find	2183
running	2181
officer	2181
met	2177
nine	2175
appears	2173
mexico	2171
represented	2171
goal	2169
figure	2168
rugby	2167
course	2166
global	2166
becoming	2164
directly	2162
climate	2159
gas	2154
article	2154
discovered	2152
create	2149
com	2147
singles	2147
executive	2139
emperor	2137
louis	2134
cost	2134
