og	423634
av	257997
som	214966
en	181016
til	176899
er	164351
på	154751
det	147066
for	141766
den	139729
ble	127544
med	126277
var	102377
de	98494
fra	93673
et	76423
at	75969
har	69132
han	67176
også	47237
om	45958
ved	44415
etter	43252
ikke	39409
seg	37950
men	37585
hadde	35350
eller	31428
andre	27776
under	27288
dette	26690
kan	25775
første	25587
da	25014
over	24842
norsk	22942
mot	22127
to	21541
år	21367
sin	20455
mellom	19998
the	19905
norge	19784
hans	18232
flere	17902
der	17823
denne	17589
ut	17339
fikk	17060
blant	15486
tallet	15464
mange	14962
norske	14922
blir	14855
man	14349
opp	13948
of	13530
ha	12932
noen	12793
alle	12738
store	12727
disse	12670
være	12651
ligger	12524
referanser	12505
så	12442
byen	12416
siden	12280
eksterne	12172
lenker	12145
kom	12007
senere	11770
enn	11735
tidligere	11702
del	11687
annet	11678
blitt	11555
inn	11542
mer	11501
selv	11434
sammen	11404
før	11400
hvor	11326
gjennom	10925
vært	10895
noe	10880
tre	10841
mens	10681
rundt	10618
hun	10441
nord	10370
kunne	10260
skulle	10058
samme	9960
sine	9454
største	9187
kommune	9161
både	9021
nye	8850
se	8845
kjent	8843
stor	8792
bare	8771
gikk	8690
dag	8667
sitt	8603
oslo	8479
januar	8446
sør	8422
slik	8341
navnet	8311
vil	8274
mest	8223
tid	8174
amerikansk	8083
årene	8005
personer	7972
skal	7966
historie	7804
hele	7669
få	7546
finnes	7421
født	7419
gang	7371
ofte	7349
land	7313
bli	7141
tyske	7125
siste	7125
når	7085
tysk	7079
landet	6978
tok	6775
tilbake	6677
ca	6666
mars	6593
igjen	6519
mai	6512
området	6507
ham	6474
dem	6375
navn	6372
nå	6277
and	6256
tyskland	6150
juni	6105
april	6090
ny	6041
fire	6033
ville	6011
først	5939
tillegg	5919
oktober	5892
grunn	5886
vest	5881
km	5873
august	5868
død	5863
går	5824
større	5813
eksempel	5800
imidlertid	5798
kalt	5791
desember	5740
uten	5718
juli	5701
mindre	5602
her	5599
brukt	5596
innbyggere	5558
rekke	5548
mye	5546
øst	5496
forfatter	5424
deler	5390
derfor	5387
brukes	5330
ned	5321
september	5320
norges	5291
politiker	5259
februar	5241
november	5231
begynte	5185
døde	5167
gjorde	5110
bruk	5087
gamle	5071
frem	5035
kirke	5009
england	4963
sverige	4905
la	4878
fleste	4873
svært	4871
særlig	4851
samt	4842
engelsk	4836
hos	4821
verdenskrig	4814
dermed	4796
hvert	4769
kr	4762
litteratur	4753
millioner	4752
deres	4627
tiden	4606
etablert	4604
kjente	4604
europa	4581
ingen	4578
året	4572
helt	4572
kommer	4518
ulike	4496
per	4495
måtte	4480
frankrike	4463
meter	4448
president	4439
london	4425
krigen	4386
von	4377
in	4317
kun	4286
new	4285
egen	4249
by	4249
verden	4244
annen	4228
består	4217
hver	4180
må	4177
førte	4176
fransk	4174
storbritannia	4171
kommunen	4160
øya	4148
tatt	4144
videre	4113
språk	4094
mennesker	4073
fordi	4069
britiske	4063
innen	4041
slutten	4035
ga	3996
samtidig	3995
viktig	3994
amerikanske	3923
ganger	3896
fram	3896
fotballspiller	3883
sett	3883
omkring	3833
britisk	3821
perioden	3819
john	3801
bergen	3786
skuespiller	3760
bygget	3759
kalles	3753
forskjellige	3753
satt	3744
stort	3707
fem	3704
liv	3700
vant	3685
stedet	3669
befolkningen	3647
begge	3634
moderne	3626
tidlig	3626
kong	3619
konge	3606
deretter	3593
gitt	3580
ett	3574
fortsatt	3574
skrev	3561
verdens	3561
vi	3538
byer	3510
løpet	3500
utenfor	3465
politiske	3431
like	3425
st	3420
langs	3417
laget	3353
startet	3344
utviklet	3343
medlemmer	3309
opprettet	3308
barn	3306
eneste	3298
danmark	3297
gir	3291
form	3289
spesielt	3266
allerede	3262
franske	3249
åpnet	3249
ifølge	3212
arbeidet	3212
ta	3208
leder	3202
regjeringen	3184
grad	3169
sentrum	3123
vanlig	3110
side	3083
alt	3082
langt	3071
antall	3060
én	3059
nytt	3051
viser	3042
viktigste	3038
internasjonale	3032
rett	3026
holdt	3024
delen	3016
godt	3010
sønn	2992
dager	2972
står	2968
gjort	2963
forhold	2953
lag	2948
basert	2934
slaget	2930
flyttet	2909
kina	2894
får	2890
no	2888
karl	2884
politisk	2874
medlem	2873
beste	2871
dagens	2870
russland	2868
innenfor	2867
utgitt	2849
gjør	2834
nesten	2830
fødsler	2829
opprinnelig	2824
mulig	2815
gi	2800
områder	2797
sted	2785
spilte	2783
kommuner	2778
kultur	2766
svensk	2758
kongen	2754
lang	2754
folk	2747
landets	2746
valgt	2733
lå	2732
skrevet	2731
enkelte	2727
