och	470607
av	278247
som	237111
en	219755
att	188850
den	171474
till	167938
med	151894
på	149417
är	141377
för	137835
det	113681
de	104371
ett	92175
var	83205
från	78438
har	73789
han	70440
under	63338
om	56022
vid	51034
även	44982
år	44602
sig	42924
eller	41556
inte	40360
men	40139
efter	38423
kan	31786
sin	31689
talet	31233
andra	30603
hade	29828
man	29667
svenska	29578
där	28490
svensk	27934
då	27335
blev	26633
första	26307
sedan	24082
mot	23936
finns	23682
genom	23616
över	23432
sverige	23380
hans	23144
detta	22984
så	22624
mellan	22008
amerikansk	21621
också	21408
bland	20831
två	18929
när	18220
hon	18117
skulle	17346
fick	17090
skådespelare	16553
dock	16514
inom	16439
samt	16421
se	16198
vilket	16184
olika	15770
denna	15605
annat	15599
flera	15207
ha	15052
många	14715
politiker	14443
dessa	14402
senare	14309
vara	13892
än	13766
the	13752
in	13682
ut	13523
stora	13451
sina	13349
alla	13229
stockholm	12948
upp	12910
kom	12793
sitt	12651
personer	12639
samma	12410
del	12243
mycket	11985
exempel	11663
externa	11350
länkar	11345
tre	11195
enligt	11122
född	10975
mer	10883
staden	10637
utan	10591
ofta	10581
nya	10554
död	10546
tidigare	10426
fram	10402
namnet	10146
of	10016
tid	9951
källor	9933
maj	9889
sveriges	9876
januari	9847
december	9629
dess	9589
författare	9527
referenser	9461
mars	9370
kung	9275
juni	9057
kunde	8925
juli	8877
oktober	8864
blir	8859
stor	8857
september	8817
största	8790
karl	8618
april	8455
november	8447
augusti	8386
hos	8359
honom	8329
kommun	8326
började	8292
några	8272
namn	8234
används	8186
hela	7991
februari	7971
von	7940
eftersom	7817
större	7797
ligger	7779
tillsammans	7637
varit	7635
mest	7513
kallas	7486
vissa	7444
början	7306
få	7295
både	7253
fanns	7141
medan	7112
landet	7074
mindre	6844
gjorde	6815
något	6763
ska	6719
cirka	6671
födda	6642
dem	6611
grund	6603
historia	6601
endast	6593
kommer	6585
ur	6585
bara	6446
får	6430
män	6288
tyska	6261
tysk	6260
delar	6224
hennes	6221
redan	6193
brittisk	6065
någon	6039
här	6036
tog	6030
omkring	6010
son	6008
fyra	6000
före	5990
deras	5905
gamla	5869
först	5862
nu	5861
allt	5826
därför	5810
frankrike	5769
procent	5758
idag	5717
carl	5699
bli	5631
barn	5616
går	5602
vidare	5561
kr	5550
hur	5537
johan	5502
kallade	5481
innan	5454
varje	5452
ny	5434
noter	5419
språk	5389
sätt	5380
tyskland	5361
gick	5358
amerikanska	5298
därefter	5298
uppsala	5251
kriget	5213
åt	5206
tiden	5190
delen	5170
per	5169
avlidna	5121
vilken	5115
norra	5081
antal	5068
erik	5055
års	5054
franska	5011
danmark	4936
själv	4915
socken	4914
län	4894
åren	4855
främst	4834
gustav	4783
sista	4777
slutet	4756
vad	4729
nr	4702
helt	4693
form	4688
båda	4673
därmed	4672
södra	4660
vilka	4652
området	4651
fransk	4645
vill	4637
john	4633
exempelvis	4628
länder	4601
äldre	4545
slaget	4540
kungen	4537
finland	4517
stockholms	4510
ibland	4501
stort	4500
dag	4498
meter	4480
blivit	4474
gör	4460
samtidigt	4397
president	4352
trots	4346
miljoner	4341
flesta	4322
dagens	4320
norge	4316
ta	4276
världen	4267
runt	4259
består	4253
gav	4245
utanför	4229
översättning	4212
året	4210
annan	4199
förekommer	4197
europa	4185
istället	4155
gustaf	4135
kända	4125
and	4118
engelska	4117
invånare	4102
new	4098
universitet	4090
gift	4087
människor	4061
nuvarande	4023
nära	4003
fem	3995
gången	3976
kunna	3969
tal	3936
fredrik	3912
plats	3909
tillbaka	3897
kyrkan	3876
skall	3871
jag	3856
övriga	3847
ledde	3829
storbritannien	3828
politiska	3822
ger	3821
känd	3798
särskilt	3797
ryssland	3766
måste	3741
samband	3731
ryska	3705
gud	3692
dessutom	3689
egen	3689
fått	3681
kvinnor	3653
liv	3646
göra	3633
såsom	3630
fall	3594
ordet	3567
enda	3553
datum	3532
längre	3516
skrev	3510
kring	3509
brittiska	3500
stad	3498
världskriget	3490
fortfarande	3475
verk	3472
mottagare	3412
england	3406
följande	3401
göteborg	3388
regeringen	3380
ungefär	3375
högsta	3374
aldrig	3366
låg	3347
landets	3319
befolkningen	3314
riket	3306
ner	3283
säga	3274
ingen	3267
kommunen	3239
ytterligare	3221
tredje	3219
sångare	3218
internationella	3180
paris	3165
kort	3157
drottning	3148
dotter	3146
liksom	3142
nästan	3138
mytologi	3122
norr	3119
maria	3106
vi	3103
kyrka	3093
dagar	3088
ord	3067
kallad	3056
användes	3045
henne	3038
västra	3035
kvar	3029
via	3018
står	3009
anses	3000
la	2993
vars	2988
hjälp	2977
sex	2971
östra	2969
världens	2969
sidan	2966
gånger	2956
kungliga	2940
stod	2936
senator	2925
antalet	2917
demokratisk	2911
ön	2910
vann	2901
områden	2897
gång	2883
havet	2874
land	2863
adolf	2862
ge	2859
ville	2859
biografi	2859
inför	2856
slott	2854
högre	2843
församling	2842
lång	2829
lista	2829
vatten	2825
magnus	2822
italien	2820
film	2814
ännu	2796
far	2796
danska	2795
alltså	2784
innehåller	2770
europeiska	2765
bildades	2765
krig	2760
söder	2755
betydelse	2749
oftast	2747
lika	2732
roll	2732
tar	2729
musiker	2723
infördes	2718
stöd	2711
numera	2707
af	2686
lag	2651
egna	2647
peter	2624
kina	2624
utgör	2618
varav	2607
hög	2595
äldsta	2593
italiensk	2586
gäller	2583
grekiska	2582
ingår	2576
stadens	2576
ursprungligen	2573
innebär	2572
rätt	2570
själva	2562
slut	2561
haft	2555
du	2542
york	2529
guld	2516
område	2506
varandra	2502
henrik	2495
ordförande	2477
romerska	2473
republikansk	2473
litteratur	2465
lyckades	2462
framför	2458
dog	2453
anna	2450
betyder	2449
icke	2448
spelade	2439
brukar	2436
byggdes	2434
använda	2427
lars	2426
armén	2421
thomas	2414
nytt	2404
dels	2403
bästa	2402
användas	2394
partiet	2394
respektive	2391
gå	2389
london	2380
kristna	2378
anders	2377
mitten	2375
använder	2373
minst	2368
robert	2368
person	2367
gruppen	2354
bort	2343
moderna	2342
filmen	2340
guvernör	2320
orden	2319
fler	2318
historiska	2311
ej	2307
modern	2303
förutom	2302
ekonomiska	2301
visar	2296
viss	2288
polen	2285
länge	2279
